Site,geometry,length
16,"LINESTRING Z (675270.4217342371 5129613.780286827 0, 675180.5450999998 5129618.142100001 0, 675014.8234000001 5129625.645300001 0, 675008.3614999996 5129625.946599999 0, 674997.3388999999 5129626.6711 0, 674804.1215000004 5129635.0351 0, 674755.0707 5129637.137800001 0, 674624.9127000002 5129642.6273 0, 674618.9566000002 5129642.4838 0, 674495.824 5129648.1852 0, 674412.8004000001 5129651.6875 0, 674246.5811999999 5129659.516100001 0, 674087.3981999997 5129665.529200001 0, 674034.3077999996 5129667.3725000005 0, 673992.3513000002 5129668.617799999 0, 673951.2950999998 5129668.847100001 0, 673909.3493999997 5129668.0649 0, 673865.3183000004 5129666.3137 0, 673833.4555000002 5129662.7184999995 0, 673779.5613000002 5129656.636 0, 673724.6009 5129648.576199999 0, 673671.7867999999 5129640.5348000005 0, 673623.4829773548 5129630.114513867 0)",1651.0373218450568
18A,"LINESTRING Z (677218.6413181714 5129527.503207036 0, 677168.2821000004 5129529.5833 0, 677164.6946 5129529.711100001 0, 677103.5437000003 5129532.589299999 0, 676955.3863000004 5129539.6699 0, 676865.3362999996 5129542.961200001 0, 676818.3126999997 5129545.075099999 0, 676741.1333999997 5129548.5954 0, 676684.1563999997 5129551.502599999 0, 676556.0173000004 5129557.1228 0, 676514.8920999998 5129558.422 0, 676406.8443 5129563.3027 0, 676377.8189000003 5129563.827 0, 676302.7281999998 5129566.407299999 0, 676300.8118000003 5129566.5229 0, 676296.3773999996 5129566.835100001 0, 676276.7462999998 5129567.842599999 0, 676205.7686000001 5129571.4026 0, 676204.9293 5129571.468 0, 676174.6470999997 5129572.985400001 0, 676067.4310999997 5129577.919199999 0, 676022.3849999998 5129578.9668000005 0, 675948.2950999998 5129582.6850000005 0, 675807.2752 5129590.1032 0, 675713.0592999998 5129593.2458999995 0, 675536.9436999997 5129602.827 0, 675336.6317999996 5129612.048699999 0, 675299.5619000001 5129613.369200001 0, 675284.6639 5129613.1293 0, 675284.3074000003 5129613.1064 0, 675222.9929181787 5129616.082060101 0)",1997.7025718940715
18B,"LINESTRING Z (677485.4546401195 5129516.282153872 0, 677383.7844000002 5129519.783 0, 677249.7466000002 5129526.2184 0, 677168.2821000004 5129529.5833 0, 677164.6946 5129529.711100001 0, 677103.5437000003 5129532.589299999 0, 676955.3863000004 5129539.6699 0, 676865.3362999996 5129542.961200001 0, 676818.3126999997 5129545.075099999 0, 676741.1333999997 5129548.5954 0, 676684.1563999997 5129551.502599999 0, 676556.0173000004 5129557.1228 0, 676514.8920999998 5129558.422 0, 676406.8443 5129563.3027 0, 676377.8189000003 5129563.827 0, 676302.7281999998 5129566.407299999 0, 676300.8118000003 5129566.5229 0, 676296.3773999996 5129566.835100001 0, 676276.7462999998 5129567.842599999 0, 676205.7686000001 5129571.4026 0, 676204.9293 5129571.468 0, 676174.6470999997 5129572.985400001 0, 676067.4310999997 5129577.919199999 0, 676022.3849999998 5129578.9668000005 0, 675948.2950999998 5129582.6850000005 0, 675807.2752 5129590.1032 0, 675713.0592999998 5129593.2458999995 0, 675536.9436999997 5129602.827 0, 675489.8129085777 5129604.996746376 0)",1997.6765004063463
2,"MULTILINESTRING Z ((661076.3989000004 5146574.109300001 0, 660796.6798999999 5146294.719799999 0, 660688.1445000004 5146188.3577 0, 660535.3914000001 5146038.5879 0, 660241.0208 5145742.150900001 0, 660117.1303000003 5145629.671700001 0, 660040.693266232 5145572.308457241 0), (661283.5258271318 5146785.040482844 0, 661257.9562999997 5146756.5133 0, 661134.4261999996 5146632.841399999 0, 661121.5410000002 5146619.8434999995 0), (661121.5410000002 5146619.8434999995 0, 661101.9545 5146599.7334 0, 661076.3989000004 5146574.109300001 0))",1737.5781272453858
4,"MULTILINESTRING Z ((664595.3079000004 5149790.025900001 0, 664555.8909999998 5149761.0045 0, 664486.3957000002 5149709.8858 0, 664441.1709000003 5149676.5538 0, 664441.0521 5149676.5462 0), (664441.0521 5149676.5462 0, 664305.9455000004 5149578.853800001 0, 664181.6528000003 5149485.555299999 0, 663935.8584000003 5149300.0923 0, 663822.6582000004 5149221.7051 0, 663822.3169999998 5149221.444499999 0, 663613.4970726056 5149063.20999206 0), (664732.5400338691 5149890.9171177605 0, 664704.9102999996 5149870.568299999 0, 664595.3079000004 5149790.025900001 0))",1392.0220177290248
