Buffer Index,Clipped Length
0,21919.21972299989
1,29354.716173412442
2,23589.017523507762
3,46510.049210093595
4,18665.465542307367
5,10627.980100878725
6,9352.055988618948
7,38299.22778004041
8,21253.78966606069
9,22876.836061677608
10,31784.544453890958
11,12553.314344102015
12,12892.97060459166
13,33367.91724261298
14,23446.68962658248
