id,CL_PENT,SUPERFICIE
0,A,5641.6
0,B,1682.8
0,C,54.49999999999999
0,D,10.1
1,A,11130.2
1,B,2217.8999999999996
1,C,64.5
1,D,65.39999999999999
1,F,13.2
2,A,5688.7
2,B,447.5
2,C,95.2
2,D,78.7
2,F,14.200000000000001
3,A,20317.600000000002
3,B,179.60000000000002
3,C,34.9
3,D,106.4
3,F,13.0
4,A,8297.5
4,B,13.9
5,A,8297.5
5,B,8.0
6,A,27964.0
7,A,25118.2
7,B,7.0
8,A,25118.2
8,B,17.2
8,C,1.8
9,A,25118.2
9,B,15.6
9,C,1.8
10,A,45423.4
10,B,124.5
10,C,3.9000000000000004
11,A,25119.3
11,B,7.7
11,C,2.1
12,A,25119.3
12,B,7.7
12,C,2.1
13,A,25756.9
13,B,25.9
14,A,11087.5
14,B,1858.3999999999999
14,C,47.1
14,D,110.0
14,F,8.4
