,500m,1km,2km
0,0.0,4105.071929222895,1737.5781272453858
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,4742.594203702328,0.0
7,0.0,3768.699187519325,1651.0373218450568
8,998.256694168035,3995.37721496882,1997.7025718940715
9,998.8517556140182,3995.378996772334,1997.6765004063463
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,3614.909195489697,1392.0220177290248
