Buffer Index,Clipped Length
0,5744.701791566849
1,3043.721673256412
2,3857.662592410286
3,4362.966933907418
4,8157.176834622845
5,4277.62690479357
6,15084.605850771339
7,5640.243765240033
8,13008.451903722493
9,11335.332626648658
10,3288.9010253631295
11,10663.178010384807
12,10446.650573843683
13,2304.1121574114345
14,4483.87478503412
