id,TYPE_ECO,SUPERFICIE
0,FE20,6.4
0,FE21,7.699999999999999
0,FE22,29.8
0,FO14,2.7
0,FO18,8.5
0,MA18R,5.6
0,MJ11,13.0
0,MJ12,4.3
0,RB11,26.099999999999998
1,FE23,23.299999999999997
1,FO18,1.5
1,MJ13,45.699999999999996
1,RB13,37.3
2,FE21,41.7
2,MJ11,35.3
2,RB11,45.8
3,MJ11,7.2
3,MJ13,61.9
3,RB13,20.1
4,MA18R,5.5
4,MJ11,63.1
4,MJ13,4.6
4,RB11,39.5
5,MA18R,2.2
5,MJ11,29.2
5,MJ14,9.6
5,MJ21,2.5
5,RP11,70.1
5,RS51,9.2
6,MJ21,70.1
6,RE21,20.7
6,RS51,8.3
7,FE21,15.3
7,MJ11,87.9
8,FE21,43.0
8,FO16,52.4
8,MJ11,30.299999999999997
8,MJ14,10.4
9,FE21,58.400000000000006
9,FO16,52.4
9,MJ11,43.6
9,MJ14,10.4
10,MJ11,96.8
10,MJ14,13.2
10,MJ24,26.6
10,MJ28,2.3
10,RP11,5.4
10,RS14,5.5
11,FE21,85.2
11,FE24,10.8
11,MJ11,53.4
11,MJ14,86.8
11,RS38,8.9
12,FE21,94.1
12,FE24,10.8
12,MJ11,52.7
12,MJ14,68.60000000000001
12,RS38,8.9
13,FE21,12.799999999999999
13,FE23,5.3
13,MF18,3.3
13,MJ11,29.200000000000003
13,MJ13,8.6
13,MJ14,4.0
13,MJ21,17.0
13,RB11,3.3
14,FE21,5.7
14,FE23,7.3
14,MF14,10.9
14,MJ11,8.899999999999999
14,MJ13,28.8
14,RB11,21.2
