Buffer Index,Clipped Length
0,1460.1492465476763
1,1447.769435676153
2,1369.2644643859762
3,1819.0665923283468
4,2154.2391428433853
5,1593.5361338223045
6,5508.686447526258
7,1594.2472571172755
8,3787.689788057915
9,3048.917389441798
10,1649.8102674631402
11,4400.236850871799
12,4308.447842450759
13,994.468383085779
14,1906.3697622988025
