Buffer Index,Clipped Length
0,24228.02605022318
1,9865.73561718568
2,10878.972253687392
3,12708.246354196415
4,16954.010366533017
5,14380.761380888702
6,31146.107287379396
7,25232.950890818633
8,31425.097737981854
9,32651.90697207505
10,8158.78734949742
11,42123.8792812566
12,45124.137471236696
13,10001.734399600531
14,17291.478350900852
