,GEOCODE,ORIGINE,AN_ORIGINE,PERTURB,AN_PERTURB,REB_ESS1,REB_ESS2,REB_ESS3,ET_DOMI,PART_STR,TYPE_COUV,GR_ESS,CL_DENS,CL_HAUT,CL_AGE,ETAGEMENT,COUV_GAULE,CL_PENT,DEP_SUR,CL_DRAI,TYPE_ECO,CO_TER,TYPE_TER,STRATE,MET_AT_STR,SUPERFICIE,TOPONYME,NO_PRG,VER_PRG,Shape_Leng,Shape_Area,Site,geometry,area
0,"-334228,86+278850,62",FR,,,,,,,,,,,,,,,,F,5A,20,RB13,,TRF,FR                    F5A  20   RB13,PHOTOIN,2.6,,4,NAIPF2010,1322.03241456,25589.8093257,5,"POLYGON Z ((665170.2549 5142223.2686 0, 665169.0562000005 5142220.9125 0, 665181.2264 5142212.5524 0, 665189.7556999996 5142213.807 0, 665192.585 5142213.3935 0, 665198.5290000001 5142212.521400001 0, 665198.6880999999 5142208.3259 0, 665208.3380000005 5142201.0897 0, 665206.7892000005 5142198.9439 0, 665197.8738000002 5142194.550799999 0, 665186.3458000002 5142187.998500001 0, 665172.6719000004 5142182.994899999 0, 665159.5006999997 5142179.582699999 0, 665149.0130000003 5142174.1066 0, 665148.5404000003 5142173.5425 0, 665145.7034 5142165.044199999 0, 665144.3185 5142162.521 0, 665142.6322999997 5142162.502900001 0, 665133.6480999999 5142162.8758000005 0, 665127.3238000004 5142163.845000001 0, 665121.5181999998 5142164.2874 0, 665116.7077000001 5142167.911800001 0, 665110.6255000001 5142165.225400001 0, 665110.0938999997 5142164.987600001 0, 665102.9194999998 5142160.446699999 0, 665091.6783999996 5142156.451300001 0, 665080.0414000005 5142162.296599999 0, 665069.7215999998 5142168.700099999 0, 665046.0209999997 5142168.257200001 0, 665029.3405999998 5142169.8903 0, 665015.0085000005 5142181.9175 0, 664999.6557 5142184.330700001 0, 664989.9126000004 5142191.940400001 0, 664980.2686999999 5142195.0078 0, 664973.0021000002 5142197.320499999 0, 664970.0015000002 5142196.714199999 0, 664958.3561000004 5142194.3408 0, 664947.8546000002 5142194.1479 0, 664933.4494000003 5142194.4746 0, 664918.0975000001 5142196.877800001 0, 664899.4353999998 5142200.134299999 0, 664895.6486999998 5142199.6697 0, 664889.6042999998 5142198.945699999 0, 664881.7718000002 5142197.9936 0, 664865.6398 5142196.028100001 0, 664862.4474198276 5142194.282812331 0, 664863.5896366639 5142217.533170164 0, 664870.3223833746 5142262.921661671 0, 664883.5861999998 5142257.035499999 0, 664889.2313999999 5142254.5397 0, 664949.5861999998 5142236.475400001 0, 664995.307 5142214.8397 0, 665026.6568999998 5142207.0362 0, 665053.6030000001 5142210.5482 0, 665062.5799000002 5142209.8029 0, 665071.7986000003 5142209.048800001 0, 665095.0743000004 5142207.1335 0, 665112.0448000003 5142198.453400001 0, 665130.8896000003 5142199.1612 0, 665134.1535 5142199.2883 0, 665138.4886999996 5142206.6329 0, 665136.1525999997 5142208.5165 0, 665134.9046999998 5142218.5633000005 0, 665136.8765000002 5142227.0757 0, 665137.1098999996 5142237.0724 0, 665140.2297 5142241.908600001 0, 665148.7846999997 5142242.643100001 0, 665151.3344 5142242.3255 0, 665159.9281000001 5142241.255100001 0, 665167.3514 5142234.887399999 0, 665169.6122000003 5142232.946900001 0, 665174.4718000004 5142227.739499999 0, 665176.5849000001 5142226.7907 0, 665170.2549 5142223.2686 0))",14323.273698605131
1,"-334022,32+278656,99",FR,,,,,,,,,,,,,,,,B,5A,30,RB13,,TRF,FR                    B5A  30   RB13,PHOTOIN,3.9,,4,NAIPF2010,1424.88178685,38752.76235,5,"POLYGON Z ((665276.2944999998 5142086.9288 0, 665271.2770999996 5142084.014900001 0, 665267.3877999997 5142081.7530000005 0, 665248.7783000004 5142061.405200001 0, 665246.9619000005 5142051.3594 0, 665247.1486 5142050.0397 0, 665239.4583 5142041.665899999 0, 665224.0646000002 5142030.874600001 0, 665223.6086999997 5142023.058499999 0, 665245.1996999998 5142024.068700001 0, 665260.6440000003 5142032.463400001 0, 665275.6914999997 5142029.7519000005 0, 665285.9447999997 5142026.949200001 0, 665291.4985999996 5142027.197899999 0, 665297.7394000003 5142027.5173 0, 665301.0904000001 5142027.6822999995 0, 665301.6869999999 5142027.5239 0, 665317.0725999996 5142023.486 0, 665320.5689000003 5142013.3462000005 0, 665316.3414000003 5141999.541300001 0, 665315.7646000003 5141997.651900001 0, 665314.6968 5141990.736300001 0, 665327.4077000003 5141984.6742 0, 665338.0921 5141990.880899999 0, 665344.5055999998 5142001.2016 0, 665345.8399999999 5142002.132999999 0, 665354.1420999998 5142007.898499999 0, 665356.0547000002 5142009.2225 0, 665365.7137000002 5142004.3882 0, 665368.1738999998 5142003.148499999 0, 665375.8175999997 5141995.1928 0, 665371.9359999998 5141988.400699999 0, 665365.9496999998 5141977.9067 0, 665358.8151000002 5141958.5611000005 0, 665358.2861000001 5141955.9024 0, 665356.892 5141948.9278 0, 665345.1508999998 5141951.398399999 0, 665330.7411000002 5141953.714 0, 665330.0990000004 5141953.8181 0, 665318.8509999998 5141961.4056 0, 665306.7253999999 5141967.7805 0, 665304.4566000002 5141968.1028 0, 665290.1793 5141970.1689 0, 665281.5252 5141967.5973000005 0, 665276.9532000003 5141963.1654 0, 665277.7511999998 5141952.978499999 0, 665290.8015000001 5141945.117900001 0, 665302.3909999998 5141935.1394 0, 665309.1179999998 5141922.5418 0, 665304.4978999998 5141918.427300001 0, 665302.6012000004 5141918.290100001 0, 665296.5911999997 5141917.8605 0, 665290.4445000002 5141924.561799999 0, 665283.8868000004 5141931.3674 0, 665282.7909000004 5141932.5165 0, 665274.7918999996 5141926.9586 0, 665265.8488999996 5141923.788899999 0, 665258.1157 5141920.3440000005 0, 665251.7659 5141922.6271 0, 665245.1908999998 5141920.972200001 0, 665240.4095000001 5141922.2182 0, 665236.108 5141923.0342999995 0, 665234.3302999996 5141924.3945 0, 665230.9232999999 5141930.332800001 0, 665218.9027000004 5141931.301899999 0, 665201.5077999998 5141930.671800001 0, 665192.3175999997 5141924.4965 0, 665190.7637999998 5141920.129899999 0, 665189.1918000001 5141915.741699999 0, 665187.6004999997 5141912.255899999 0, 665184.0568000004 5141909.492000001 0, 665168.3909999998 5141896.888499999 0, 665168.2276999997 5141896.8038 0, 665162.4472000003 5141893.772299999 0, 665155.8235999998 5141887.2005 0, 665155.9150999999 5141886.5053 0, 665155.3154999996 5141886.583000001 0, 665150.3003000002 5141895.945900001 0, 665141.3607000001 5141896.382999999 0, 665134.0931000002 5141892.8989 0, 665133.9960000003 5141892.860200001 0, 665133.0225999998 5141892.3926 0, 665125.4013999999 5141881.7544 0, 665118.8674999997 5141872.7994 0, 665115.6637000004 5141863.3345 0, 665110.7481000004 5141860.178400001 0, 665087.6864999998 5141864.453400001 0, 665073.1709000003 5141886.0787 0, 665063.7812999999 5141890.705700001 0, 665046.9095999999 5141894.2809 0, 665030.3893999998 5141895.4659 0, 665031.1232000003 5141903.8892 0, 665071.6500000004 5141942.616 0, 665088.5226999996 5141939.0308 0, 665112.0321000004 5141933.7806 0, 665121.8267999999 5141939.3663 0, 665134.6716 5141958.210999999 0, 665156.4414999997 5141989.084799999 0, 665162.8043 5142001.802100001 0, 665164.0356000001 5142015.634 0, 665158.7443000004 5142025.736099999 0, 665146.9009999996 5142033.0099 0, 665142.4666999998 5142034.6481 0, 665146.0270999996 5142037.2226 0, 665157.6462000003 5142041.944499999 0, 665165.7533999998 5142057.0962000005 0, 665162.9570000004 5142061.350299999 0, 665156.1738 5142071.622199999 0, 665162.9223999996 5142079.852700001 0, 665180.2039999999 5142102.3839 0, 665174.3618999999 5142125.6786 0, 665181.8923000004 5142139.6241 0, 665195.1678999998 5142151.8762 0, 665218.5476000002 5142168.827099999 0, 665220.8647999996 5142168.9812 0, 665231.1321 5142169.6658 0, 665238.4983999999 5142167.020300001 0, 665243.8217000002 5142165.0988 0, 665250.3607000001 5142168.5287 0, 665262.7615 5142163.363600001 0, 665275.5997000001 5142166.9070999995 0, 665280.9221999999 5142167.7282 0, 665282.9145 5142168.034499999 0, 665286.6706999997 5142168.616900001 0, 665288.6804999998 5142166.6744 0, 665293.3238000004 5142162.2115 0, 665297.3641999997 5142158.3182 0, 665302.2189999996 5142149.634299999 0, 665289.4422000004 5142132.182 0, 665282.4653000003 5142124.9461 0, 665275.7109000003 5142117.920700001 0, 665274.1187000005 5142113.4201 0, 665272.8551000003 5142109.8627 0, 665273.9585999995 5142105.7808 0, 665274.2268000003 5142104.7897 0, 665275.0137 5142101.9055 0, 665280.1432999996 5142095.004000001 0, 665276.2944999998 5142086.9288 0))",38752.76235000773
2,"-333956,33+279442,77",,,,,,,,,,F,PEPE,B,2,30,,,D,5A,30,FE23,,TRF,F              PEPE    B230   D5A  30   FE23,PHOTOIN,5.6,,4,NAIPF2010,1744.25590075,56125.8056297,5,"POLYGON Z ((665495.5773 5142643.703400001 0, 665497.5652999999 5142629.9342 0, 665497.8642999995 5142627.9111 0, 665498.1025999999 5142626.234200001 0, 665492.1239 5142623.968900001 0, 665484.8426999999 5142621.206900001 0, 665477.5691999998 5142620.977299999 0, 665471.4976000004 5142624.319700001 0, 665468.0604999997 5142627.5228 0, 665461.5596000003 5142633.57 0, 665458.2642999999 5142634.5955 0, 665455.6091 5142635.426200001 0, 665454.5449999999 5142635.302200001 0, 665450.1792000001 5142634.796599999 0, 665445.0237999996 5142633.1062 0, 665440.3327000001 5142629.226399999 0, 665436.1555000003 5142624.0758 0, 665437.2877000002 5142618.187999999 0, 665434.2218000004 5142620.6 0, 665424.0218000002 5142620.4036 0, 665413.8060999997 5142621.4114 0, 665407.1019000001 5142626.6872000005 0, 665406.7976000002 5142627.4037999995 0, 665400.9905000003 5142631.3924 0, 665395.8245999999 5142640.300100001 0, 665396.3271000003 5142646.563200001 0, 665396.5641000001 5142649.4574 0, 665403.9753 5142656.782 0, 665402.5905689154 5142666.490327455 0, 665410.1905701648 5142666.116963335 0, 665458.727161008 5142658.917240201 0, 665494.6729653493 5142649.91328494 0, 665495.5773 5142643.703400001 0))",3261.211570912727
3,"-334051,48+278195,72",FR,,,,,,,,,,,,,,,,C,5A,30,RB13,,TRF,FR                    C5A  30   RB13,PHOTOIN,2.8,,4,NAIPF2010,1625.87563801,27984.9443861,5,"POLYGON Z ((665464.3361999998 5141707.3462000005 0, 665465.2570000002 5141689.956900001 0, 665459.1359000001 5141680.5361 0, 665455.867295778 5141677.707738864 0, 665410.1905701648 5141670.932236663 0, 665379.0426022878 5141669.402035125 0, 665385.5938999997 5141674.1905000005 0, 665403.6206 5141680.9844 0, 665410.0777000003 5141688.305 0, 665411.5892000003 5141690.4175 0, 665417.6781000001 5141698.951400001 0, 665430.8547999999 5141700.7062 0, 665438.3119999999 5141702.951300001 0, 665441.6979999999 5141714.109999999 0, 665443.9018000001 5141724.6621 0, 665452.2117999997 5141729.313100001 0, 665457.7094999999 5141727.236099999 0, 665461.2838000003 5141725.8937 0, 665463.6309000002 5141711.583799999 0, 665464.3361999998 5141707.3462000005 0))",2131.437542863999
4,"-334005,11+278266,77",,,,,,,,,,F,PEES,B,2,70,,,C,5A,30,FE23,,TRF,F              PEES    B270   C5A  30   FE23,PHOTOIN,5.0,,4,NAIPF2010,1851.21840799,50313.8053945,5,"POLYGON Z ((665305.3267000001 5141915.6371 0, 665315.2395000001 5141915.215500001 0, 665321.3283000002 5141921.3584 0, 665327.0950999996 5141928.0756 0, 665328.6638000002 5141928.173800001 0, 665338.4134999998 5141928.8027 0, 665345.2540999996 5141927.7885 0, 665350.9614000004 5141923.4496 0, 665356.1079000002 5141915.786 0, 665361.3225999996 5141910.881200001 0, 665364.1946999999 5141908.160800001 0, 665368.8930000002 5141901.593 0, 665371.1777999997 5141892.7729 0, 665371.1776 5141877.854 0, 665370.7474999996 5141871.2257 0, 665370.9253000002 5141866.248400001 0, 665363.2801999999 5141851.7804000005 0, 665363.6935 5141840.7157000005 0, 665364.2116999999 5141826.8673 0, 665372.5421000002 5141821.946 0, 665375.8075000001 5141814.196900001 0, 665375.0377000002 5141802.535499999 0, 665363.5380999995 5141793.042199999 0, 665349.8694000002 5141783.5384 0, 665347.7844000002 5141773.0067 0, 665350.9188999999 5141761.3884 0, 665352.2779000001 5141756.002800001 0, 665352.3558999998 5141755.688200001 0, 665352.4880999997 5141755.6698 0, 665360.5389999999 5141752.2106 0, 665366.9644999998 5141747.8144000005 0, 665371.9232000001 5141743.0779 0, 665375.1376999998 5141740.005999999 0, 665382.1206 5141734.644300001 0, 665389.9324000003 5141729.908299999 0, 665395.0015000002 5141728.1351 0, 665398.8185999999 5141728.1402 0, 665403.5933999997 5141729.4756000005 0, 665404.0162000004 5141729.693700001 0, 665404.7846999997 5141730.093 0, 665404.7401 5141729.6872000005 0, 665404.7039999999 5141729.412799999 0, 665408.2905000001 5141707.657400001 0, 665411.5892000003 5141690.4175 0, 665410.0777000003 5141688.305 0, 665403.6206 5141680.9844 0, 665385.5938999997 5141674.1905000005 0, 665379.0426022878 5141669.402035125 0, 665361.182 5141668.524599999 0, 665312.1734298352 5141670.932236663 0, 665263.7508392797 5141678.1150494525 0, 665269.3019000003 5141678.7018 0, 665282.4633 5141696.3486 0, 665289.6365 5141700.105699999 0, 665304.3880000003 5141713.392000001 0, 665304.4473000001 5141713.8594 0, 665309.1076999996 5141715.4659 0, 665324.1688999999 5141728.659 0, 665331.3772 5141744.093 0, 665324.1300999997 5141749.943700001 0, 665323.8524000002 5141749.788699999 0, 665323.4404999996 5141749.5614 0, 665319.4859999996 5141754.075099999 0, 665310.4961999999 5141769.205600001 0, 665302.1486999998 5141781.9515 0, 665288.1617 5141791.8894 0, 665287.3416999998 5141791.847200001 0, 665276.7651000004 5141791.3664 0, 665263.8669999996 5141791.123 0, 665247.9384000003 5141792.3201 0, 665238.5488999998 5141796.947000001 0, 665237.8191999998 5141797.817 0, 665236.8762999997 5141798.9394000005 0, 665232.1050000004 5141804.626700001 0, 665227.7448000005 5141812.942299999 0, 665226.7997000003 5141818.304 0, 665224.3787000002 5141832.085000001 0, 665217.7769999998 5141848.159600001 0, 665215.4462000001 5141860.120100001 0, 665208.6885000002 5141868.395 0, 665200.3934000004 5141862.8913 0, 665198.9129999997 5141861.9068 0, 665187.1989000002 5141862.591499999 0, 665176.1095000003 5141861.7742 0, 665171.9461000003 5141863.7578 0, 665166.2511999998 5141859.1866999995 0, 665160.0285 5141855.473300001 0, 665152.0544999996 5141848.722100001 0, 665142.2884 5141841.330600001 0, 665138.8333999999 5141833.460899999 0, 665133.8584000003 5141826.7633 0, 665124.6459999997 5141822.0929000005 0, 665113.9551999997 5141816.187100001 0, 665112.9132000003 5141808.0681 0, 665115.1578000002 5141803.464 0, 665109.5196000002 5141804.8554 0, 665097.8920999998 5141801.026900001 0, 665093.3002000004 5141806.0469 0, 665094.8525 5141818.9728 0, 665111.1774000004 5141860.0956999995 0, 665110.7481000004 5141860.178400001 0, 665115.6637000004 5141863.3345 0, 665118.8674999997 5141872.7994 0, 665125.4013999999 5141881.7544 0, 665133.0225999998 5141892.3926 0, 665133.9960000003 5141892.860200001 0, 665134.0931000002 5141892.8989 0, 665141.3607000001 5141896.382999999 0, 665150.3003000002 5141895.945900001 0, 665155.3154999996 5141886.583000001 0, 665155.9150999999 5141886.5053 0, 665155.8235999998 5141887.2005 0, 665162.4472000003 5141893.772299999 0, 665168.2276999997 5141896.8038 0, 665168.3909999998 5141896.888499999 0, 665184.0568000004 5141909.492000001 0, 665187.6004999997 5141912.255899999 0, 665189.1918000001 5141915.741699999 0, 665190.7637999998 5141920.129899999 0, 665192.3175999997 5141924.4965 0, 665201.5077999998 5141930.671800001 0, 665218.9027000004 5141931.301899999 0, 665230.9232999999 5141930.332800001 0, 665234.3302999996 5141924.3945 0, 665236.108 5141923.0342999995 0, 665240.4095000001 5141922.2182 0, 665245.1908999998 5141920.972200001 0, 665251.7659 5141922.6271 0, 665258.1157 5141920.3440000005 0, 665265.8488999996 5141923.788899999 0, 665274.7918999996 5141926.9586 0, 665282.7909000004 5141932.5165 0, 665283.8868000004 5141931.3674 0, 665290.4445000002 5141924.561799999 0, 665296.5911999997 5141917.8605 0, 665302.6012000004 5141918.290100001 0, 665305.3267000001 5141915.6371 0))",34974.910759351485
5,"-334062,85+278439,44",P,,,,,,,,,R,RZ,D,5,10,,,D,5A,30,RB13,,TRF,R       P      RZ      D510   D5A  30   RB13,PHOTOIN,0.8,,4,NAIPF2010,368.469154629,8291.7667618,5,"POLYGON Z ((665228.2696000002 5141785.3511 0, 665221.0625 5141785.509099999 0, 665210.8276000004 5141787.419299999 0, 665203.0683000004 5141786.7752 0, 665201.5431000004 5141786.6406 0, 665197.8121999996 5141777.5713 0, 665185.2684000004 5141774.335100001 0, 665174.5527999997 5141769.6226 0, 665158.1109999996 5141766.6152 0, 665146.1217999998 5141766.0901999995 0, 665134.7659 5141763.1697 0, 665115.1578000002 5141803.464 0, 665112.9132000003 5141808.0681 0, 665113.9551999997 5141816.187100001 0, 665124.6459999997 5141822.0929000005 0, 665133.8584000003 5141826.7633 0, 665138.8333999999 5141833.460899999 0, 665142.2884 5141841.330600001 0, 665152.0544999996 5141848.722100001 0, 665160.0285 5141855.473300001 0, 665166.2511999998 5141859.1866999995 0, 665171.9461000003 5141863.7578 0, 665176.1095000003 5141861.7742 0, 665187.1989000002 5141862.591499999 0, 665198.9129999997 5141861.9068 0, 665200.3934000004 5141862.8913 0, 665208.6885000002 5141868.395 0, 665215.4462000001 5141860.120100001 0, 665217.7769999998 5141848.159600001 0, 665224.3787000002 5141832.085000001 0, 665226.7997000003 5141818.304 0, 665227.7448000005 5141812.942299999 0, 665232.1050000004 5141804.626700001 0, 665236.8762999997 5141798.9394000005 0, 665228.2696000002 5141785.3511 0))",8291.766761801862
6,"-333811,28+278025,28",,,,,,,,,,F,PEPE,B,2,70,,,E,5A,30,FE23,,TRF,F              PEPE    B270   E5A  30   FE23,PHOTOIN,4.6,,4,NAIPF2010,1481.62784404,45498.9125119,5,"POLYGON Z ((665459.1359000001 5141680.5361 0, 665465.2570000002 5141689.956900001 0, 665464.3361999998 5141707.3462000005 0, 665463.6309000002 5141711.583799999 0, 665465.9555000002 5141714.1598000005 0, 665481.8562000003 5141721.4794 0, 665494.0477 5141729.5067 0, 665498.7227999996 5141737.2127 0, 665499.1695999997 5141737.9553 0, 665503.1908999998 5141739.404999999 0, 665509.1072000004 5141744.085999999 0, 665525.3612000002 5141763.462300001 0, 665525.4702000003 5141763.5923999995 0, 665526.2323000003 5141763.6094 0, 665530.4746000003 5141763.6921999995 0, 665553.5082 5141762.1271 0, 665565.0853000004 5141760.0338 0, 665573.5789000001 5141758.5023 0, 665578.6014 5141757.599099999 0, 665579.6096999999 5141757.2158 0, 665583.6320000002 5141755.6919 0, 665587.1021999996 5141754.049000001 0, 665589.6929000001 5141752.810699999 0, 665592.4069999997 5141750.628900001 0, 665595.7801000001 5141747.922499999 0, 665597.8569 5141743.966600001 0, 665598.9497999996 5141738.979599999 0, 665599.6371999998 5141735.8555 0, 665600.0516999997 5141734.0034 0, 665600.1037999997 5141731.1347 0, 665600.1324130319 5141729.513168356 0, 665596.880368413 5141727.563967825 0, 665552.5237161826 5141706.584833744 0, 665506.3243386273 5141690.054432133 0, 665458.727161008 5141678.131959798 0, 665455.867295778 5141677.707738864 0, 665459.1359000001 5141680.5361 0))",6337.558265910492
7,"-333743,29+277904,66",,,,,,,,,,,,,,,,,,,,,EAU,EAU,EAU,PHOTOIN,2.7,Rivière Yamachiche,4,NAIPF2010,2975.0389121,27304.6143844,5,"POLYGON Z ((665492.5081000002 5142025.014799999 0, 665499.6618999997 5142017.146500001 0, 665504.6743999999 5142016.2424 0, 665508.7319 5142014.319700001 0, 665514.8815000001 5142008.382200001 0, 665517.8891000003 5142005.492900001 0, 665522.9831999997 5142000.587400001 0, 665525.1294999998 5141995.5024 0, 665527.1633000001 5141990.6686 0, 665526.3771000002 5141979.648700001 0, 665524.4708000002 5141974.608100001 0, 665522.5636 5141969.577500001 0, 665520.6573000001 5141964.536900001 0, 665517.7216999996 5141961.485099999 0, 665513.8192999996 5141956.4091 0, 665510.9100000001 5141951.350299999 0, 665507.9643999999 5141948.297599999 0, 665502.0839999998 5141942.1832 0, 665497.1786000002 5141937.089 0, 665493.3298000004 5141929.013900001 0, 665480.7901999997 5141904.771199999 0, 665474.9806000004 5141894.6645 0, 665472.2247000001 5141881.602299999 0, 665472.4488000004 5141869.606699999 0, 665472.7192000002 5141855.605799999 0, 665472.8716000002 5141847.612299999 0, 665471.9683999997 5141842.5899 0, 665472.2741 5141826.5929000005 0, 665474.4408 5141817.6318 0, 665479.6874000002 5141804.732899999 0, 665481.7823999999 5141799.774 0, 665485.4764999999 5141794.795299999 0, 665486.9128 5141792.862500001 0, 665498.0760000004 5141784.072000001 0, 665501.3263999997 5141782.530200001 0, 665502.1127000004 5141782.157500001 0, 665504.2264 5141781.771299999 0, 665507.1360999998 5141781.2443 0, 665511.2429 5141780.8127999995 0, 665515.1568 5141780.4045 0, 665518.5673000002 5141780.464199999 0, 665523.1511000004 5141780.547 0, 665532.3141000001 5141779.285599999 0, 665542.2098000003 5141777.918 0, 665553.6037999997 5141778.1293 0, 665556.2016000003 5141778.1775 0, 665578.3137999997 5141772.593 0, 665582.9321999997 5141771.3728 0, 665585.3496000003 5141770.732100001 0, 665589.0793000003 5141767.8562 0, 665590.4255999997 5141766.829700001 0, 665595.5197000001 5141761.9242 0, 665599.7246000003 5141757.8747000005 0, 665604.6876999997 5141753.088300001 0, 665610.8738000002 5141743.205800001 0, 665612.8782000002 5141740.640000001 0, 665613.9535999997 5141739.267999999 0, 665614.2164870856 5141737.954837477 0, 665600.1324130319 5141729.513168356 0, 665600.1037999997 5141731.1347 0, 665600.0516999997 5141734.0034 0, 665599.6371999998 5141735.8555 0, 665598.9497999996 5141738.979599999 0, 665597.8569 5141743.966600001 0, 665595.7801000001 5141747.922499999 0, 665592.4069999997 5141750.628900001 0, 665589.6929000001 5141752.810699999 0, 665587.1021999996 5141754.049000001 0, 665583.6320000002 5141755.6919 0, 665579.6096999999 5141757.2158 0, 665578.6014 5141757.599099999 0, 665573.5789000001 5141758.5023 0, 665565.0853000004 5141760.0338 0, 665553.5082 5141762.1271 0, 665530.4746000003 5141763.6921999995 0, 665526.2323000003 5141763.6094 0, 665525.4702000003 5141763.5923999995 0, 665514.4775999999 5141763.386499999 0, 665503.4751000004 5141763.1796 0, 665488.4812000003 5141762.892000001 0, 665476.4402000001 5141764.6631000005 0, 665469.3861999996 5141767.527000001 0, 665457.9774000002 5141779.671399999 0, 665449.9945999999 5141788.1698 0, 665444.7479999997 5141801.068700001 0, 665443.6196999997 5141808.0518 0, 665441.5247 5141813.0108 0, 665441.0482999999 5141838.0042 0, 665442.2120000003 5141851.579 0, 665442.6851000004 5141857.035700001 0, 665443.5528999995 5141864.054300001 0, 665444.4561999999 5141869.0767 0, 665445.3602999998 5141874.089199999 0, 665446.8891000003 5141899.129000001 0, 665448.4541999996 5141922.162599999 0, 665451.2292 5141934.2118999995 0, 665452.8301999997 5141937.5879999995 0, 665453.1436000001 5141938.2486000005 0, 665455.4165000003 5141945.511600001 0, 665456.9208000004 5141950.3259 0, 665457.7885999996 5141957.3445 0, 665462.5588999996 5141969.438999999 0, 665468.3684 5141979.545700001 0, 665469.5395999998 5141982.4419 0, 665471.2314999998 5141986.6097 0, 665475.9844000004 5141999.6973 0, 665476.8340999996 5142007.718900001 0, 665475.7422000002 5142012.6961 0, 665474.5685 5142021.6745 0, 665469.4027000004 5142030.5821 0, 665467.3295999998 5142033.2423 0, 665466.3228000002 5142034.5199 0, 665460.1720000003 5142042.406300001 0, 665459.4797999999 5142043.078600001 0, 665457.7122 5142044.781300001 0, 665457.1193000004 5142045.3519 0, 665457.3058000002 5142045.288000001 0, 665468.1936999997 5142041.556600001 0, 665472.2312000003 5142039.632200001 0, 665478.3185 5142034.744000001 0, 665485.4359999998 5142028.8818 0, 665492.5081000002 5142025.014799999 0), (665476.4113999996 5141924.6887 0, 665479.3561000004 5141927.7513 0, 665482.2200999996 5141934.805299999 0, 665486.1224999996 5141939.8813000005 0, 665488.0469000004 5141943.9189 0, 665494.8948999997 5141952.047599999 0, 665497.8404999999 5141955.100299999 0, 665499.6712999996 5141957.0098 0, 665500.7752 5141958.1620000005 0, 665508.5899999999 5141968.3149 0, 665515.3391000004 5141981.437999999 0, 665518.1131999996 5141993.497199999 0, 665513.9767000005 5142000.415999999 0, 665508.9007000001 5142004.318399999 0, 665504.8886000002 5142006.6368 0, 665503.8519000001 5142007.228599999 0, 665503.6416999996 5142007.2201000005 0, 665498.8476 5142007.128799999 0, 665496.2735000001 5142005.786599999 0, 665494.8908000002 5142005.061899999 0, 665491.0599999996 5141995.9837 0, 665490.1568 5141990.961200001 0, 665487.6556000002 5141985.0342999995 0, 665486.3251999998 5141981.892999999 0, 665483.3978000004 5141977.837300001 0, 665482.1111000003 5141975.1117 0, 665481.4833000004 5141973.8006 0, 665477.6525999997 5141964.7224 0, 665468.9699999997 5141947.550899999 0, 665468.1654000003 5141945.852399999 0, 665465.1310999999 5141939.476600001 0, 665464.6215000004 5141937.2817 0, 665464.1989000002 5141935.4662999995 0, 665462.3743000003 5141926.4244 0, 665462.4731999999 5141921.43 0, 665465.5258999998 5141918.4844 0, 665474.4869999997 5141920.6511 0, 665476.4113999996 5141924.6887 0))",10168.206025013984
