,TYPE_TER,Site,geometry,area
0,EAU,4,"MULTIPOLYGON Z (((665553.5702999998 5148609.3982 0, 665553.9950628546 5148604.819761063 0, 665523.0360325108 5148518.295067634 0, 665502.6794900319 5148475.254774749 0, 665482.9972000001 5148481.034600001 0, 665473.2476000004 5148486.9967 0, 665399.0051999995 5148532.4529 0, 665352.2137000002 5148573.5688000005 0, 665283.3479000004 5148671.2842 0, 665234.2007999998 5148731.353 0, 665193.8479000004 5148749.596000001 0, 665172.6551000001 5148752.6997 0, 665157.0778000001 5148742.262499999 0, 665144.4625000004 5148724.561000001 0, 665137.5679000001 5148712.056399999 0, 665137.3707999997 5148711.898399999 0, 665070.5212000003 5148660.2338 0, 665033.6251999997 5148658.6565000005 0, 665028.5401999997 5148658.4388999995 0, 664988.5119000003 5148659.6798 0, 664965.8732000003 5148665.9616 0, 664956.6360999998 5148677.615599999 0, 664950.2651000004 5148686.508199999 0, 664949.5171999997 5148711.9529 0, 664954.6338 5148723.768100001 0, 664959.4891999997 5148735.1282 0, 664954.1465999996 5148749.1052 0, 664953.1160000004 5148773.881999999 0, 664957.9332999997 5148786.9268 0, 664948.1156000001 5148799.6951 0, 664942.3929000003 5148804.6559999995 0, 664927.3745999997 5148806.445699999 0, 664886.4795000004 5148826.619999999 0, 664882.2428000001 5148826.125600001 0, 664880.8605000004 5148825.963500001 0, 664873.3546000002 5148825.5122 0, 664862.3811999997 5148824.8454 0, 664846.5754000004 5148824.8575 0, 664831.9638 5148830.692 0, 664810.2665999997 5148837.348099999 0, 664795.1073000003 5148846.771500001 0, 664778.7443000004 5148857.7666 0, 664774.0018999996 5148860.9553 0, 664756.5108000003 5148861.732899999 0, 664755.1769000003 5148856.239800001 0, 664752.8165999996 5148852.2436 0, 664751.4598000003 5148849.401000001 0, 664751.3443 5148848.8884 0, 664747.4610000001 5148832.319 0, 664739.8914000001 5148819.151900001 0, 664730.2111999998 5148815.4443 0, 664722.8288000003 5148814.7326 0, 664717.6229999997 5148819.1865 0, 664708.0034999996 5148816.157400001 0, 664696.8583000004 5148804.0011 0, 664689.1734999996 5148789.0656 0, 664684.1484000003 5148784.4123 0, 664680.2059000004 5148782.0649999995 0, 664675.5021000002 5148789.939099999 0, 664672.3832999999 5148804.675000001 0, 664665.2324999999 5148821.6072 0, 664664.3406999996 5148838.659600001 0, 664671.4939000001 5148851.307600001 0, 664665.1442 5148856.3137 0, 664652.1043999996 5148853.786599999 0, 664645.1036999999 5148862.7542 0, 664635.3739 5148865.985099999 0, 664615.8949999996 5148873.0077 0, 664603.1163999997 5148886.991699999 0, 664594.4765999997 5148901.783 0, 664599.8032 5148910.421599999 0, 664601.6223999998 5148913.375399999 0, 664612.4907999998 5148920.584000001 0, 664625.7719 5148912.6327 0, 664630.9694999997 5148909.5243999995 0, 664652.9603000004 5148896.3533 0, 664655.5108000003 5148894.548699999 0, 664656.5175000001 5148893.843800001 0, 664667.8054999998 5148895.613399999 0, 664673.3497000001 5148888.577 0, 664699.2308 5148888.821 0, 664715.0395999998 5148895.3803 0, 664714.9100000001 5148902.201300001 0, 664719.7961999997 5148914.237299999 0, 664728.5330999997 5148920.3234 0, 664743.3660000004 5148930.6548999995 0, 664766.2626 5148923.501700001 0, 664790.1312999995 5148910.456 0, 664801.3935000002 5148900.106000001 0, 664809.0137 5148893.1121 0, 664831.1347000003 5148882.5647 0, 664854.8558 5148877.112 0, 664864.8868000004 5148881.513699999 0, 664891.8976999996 5148880.3401 0, 664907.2255999995 5148875.724300001 0, 664918.1885000002 5148872.4113 0, 664988.7028999999 5148845.073999999 0, 664999.0932 5148830.9395 0, 665014.6063999999 5148813.519200001 0, 665019.1405999996 5148796.748 0, 665017.7196000004 5148795.9997000005 0, 665010.7860000003 5148792.363600001 0, 665001.4363000002 5148796.411800001 0, 664994.2653000001 5148805.374500001 0, 664992.7977 5148807.204299999 0, 664979.9735000003 5148816.240900001 0, 664982.0647999998 5148809.7338 0, 664982.6623999998 5148807.8574 0, 664996.5563000003 5148787.038899999 0, 665005.9994999999 5148777.9451 0, 665008.6602999996 5148771.2469999995 0, 665004.5558000002 5148765.268300001 0, 664996.4562999997 5148747.4025 0, 664985.1052000001 5148723.573000001 0, 665000.4949000003 5148712.903899999 0, 665025.9858999997 5148702.422700001 0, 665029.8048999999 5148701.9559 0, 665043.7423 5148700.2316 0, 665064.8167000003 5148700.634 0, 665079.8080000002 5148710.195699999 0, 665107.1507000001 5148736.0088 0, 665155.5179000003 5148788.0724 0, 665160.9950000001 5148793.9813 0, 665195.8393999999 5148802.641899999 0, 665217.8372 5148803.055500001 0, 665219.6300999997 5148801.8673 0, 665247.2034999998 5148783.6121 0, 665295.3047000002 5148726.5155 0, 665305.4436999997 5148709.877 0, 665335.1272 5148661.213099999 0, 665363.4374000002 5148614.7893 0, 665436.4395000003 5148546.2651 0, 665444.8970999997 5148538.3201 0, 665473.1824000003 5148525.7743999995 0, 665490.2900999999 5148518.180600001 0, 665512.2878 5148518.5940000005 0, 665519.1719000004 5148524.727399999 0, 665515.7417000001 5148547.6647 0, 665517.5444999998 5148610.711300001 0, 665540.6019000001 5148660.159700001 0, 665557.2621999998 5148678.4793 0, 665574.7657654482 5148685.224367976 0, 665558.909393296 5148621.922181946 0, 665558.7052999996 5148621.918299999 0, 665553.5702999998 5148609.3982 0)), ((665593.7690000003 5148872.3926 0, 665597.4108318178 5148865.44460784 0, 665595.6010308001 5148828.6052618185 0, 665551.0516999997 5148847.3936 0, 665546.4190999996 5148857.765900001 0, 665550.6725000003 5148886.656199999 0, 665566.7643999998 5148905.84 0, 665580.5922999997 5148916.7458 0, 665598.2710914154 5148919.00140577 0, 665599.1564999996 5148900.978499999 0, 665598.3026133466 5148883.597237879 0, 665596.8278999999 5148883.1622 0, 665593.7690000003 5148872.3926 0)))",64905.24610682754
1,TRF,4,"MULTIPOLYGON Z (((663875.2796583708 5148212.374629194 0, 663866.4594123492 5148222.106271023 0, 663826.1460466369 5148266.585215836 0, 663767.6868876971 5148345.408266979 0, 663717.2352356513 5148429.581763173 0, 663675.2769674883 5148518.295067634 0, 663655.1026409566 5148574.678533101 0, 663642.2161642674 5148610.693822745 0, 663618.3712195964 5148705.888177983 0, 663614.6866448509 5148730.727563264 0, 663603.9717733273 5148802.961359669 0, 663599.1564999996 5148900.978499999 0, 663603.9717733273 5148998.995640329 0, 663618.3712195964 5149096.068822015 0, 663642.2161642674 5149191.263177253 0, 663675.2769674883 5149283.661932364 0, 663717.2352356513 5149372.375236825 0, 663767.6868876971 5149456.548733019 0, 663826.1460466369 5149535.371784163 0, 663892.049718813 5149608.085281186 0, 663960.6725004321 5149670.281345037 0, 663961.051671092 5149670.625005291 0, 663964.7632158359 5149673.988953362 0, 664043.5862669799 5149732.4481123015 0, 664121.1679848244 5149778.948804453 0, 664127.7597631735 5149782.899764348 0, 664216.4730676345 5149824.858032511 0, 664262.1477667931 5149841.200701188 0, 664308.8718227451 5149857.918835731 0, 664400.0716136093 5149880.763194116 0, 664404.0661779834 5149881.763780403 0, 664501.13935967 5149896.1632266715 0, 664578.1264615195 5149899.945360458 0, 664585.982791951 5149900.331317223 0, 664599.1564999996 5149900.978499999 0, 664697.1736403292 5149896.1632266715 0, 664794.2468220157 5149881.763780403 0, 664819.6722446732 5149875.39504357 0, 664889.4411772541 5149857.918835731 0, 664892.7292241162 5149856.742353752 0, 664940.3674165637 5149839.697135941 0, 664981.8399323646 5149824.858032511 0, 665056.8704725705 5149789.371229878 0, 665070.5532368256 5149782.899764348 0, 665085.1173960754 5149774.170343235 0, 665154.7267330192 5149732.4481123015 0, 665233.5497841632 5149673.988953362 0, 665306.2632811861 5149608.085281186 0, 665362.4913692016 5149546.0471462 0, 665366.9013498441 5149541.181482364 0, 665372.1669533623 5149535.371784163 0, 665379.1244105226 5149525.990739147 0, 665430.6261123021 5149456.548733019 0, 665438.7709395068 5149442.959909781 0, 665456.3858024466 5149413.5712864455 0, 665481.0777643479 5149372.375236825 0, 665508.330744828 5149314.753650886 0, 665523.0360325108 5149283.661932364 0, 665556.0968357318 5149191.263177253 0, 665564.2611138885 5149158.669551819 0, 665574.1584535178 5149119.157157155 0, 665579.9417804028 5149096.068822015 0, 665590.825563506 5149022.696316235 0, 665594.3412266718 5148998.995640329 0, 665595.0981122425 5148983.588880599 0, 665597.2020134834 5148940.762987004 0, 665598.2710914154 5148919.00140577 0, 665580.5922999997 5148916.7458 0, 665566.7643999998 5148905.84 0, 665550.6725000003 5148886.656199999 0, 665546.4190999996 5148857.765900001 0, 665551.0516999997 5148847.3936 0, 665595.6010308001 5148828.6052618185 0, 665594.4041737849 5148804.242677592 0, 665594.3412266718 5148802.961359669 0, 665579.9417804028 5148705.888177983 0, 665578.3285625302 5148699.447851225 0, 665574.7657654482 5148685.224367976 0, 665557.2621999998 5148678.4793 0, 665540.6019000001 5148660.159700001 0, 665517.5444999998 5148610.711300001 0, 665515.7417000001 5148547.6647 0, 665519.1719000004 5148524.727399999 0, 665512.2878 5148518.5940000005 0, 665490.2900999999 5148518.180600001 0, 665473.1824000003 5148525.7743999995 0, 665444.8970999997 5148538.3201 0, 665436.4395000003 5148546.2651 0, 665363.4374000002 5148614.7893 0, 665335.1272 5148661.213099999 0, 665305.4436999997 5148709.877 0, 665295.3047000002 5148726.5155 0, 665247.2034999998 5148783.6121 0, 665219.6300999997 5148801.8673 0, 665217.8372 5148803.055500001 0, 665195.8393999999 5148802.641899999 0, 665160.9950000001 5148793.9813 0, 665155.5179000003 5148788.0724 0, 665107.1507000001 5148736.0088 0, 665079.8080000002 5148710.195699999 0, 665064.8167000003 5148700.634 0, 665043.7423 5148700.2316 0, 665029.8048999999 5148701.9559 0, 665025.9858999997 5148702.422700001 0, 665000.4949000003 5148712.903899999 0, 664985.1052000001 5148723.573000001 0, 664996.4562999997 5148747.4025 0, 665004.5558000002 5148765.268300001 0, 665008.6602999996 5148771.2469999995 0, 665005.9994999999 5148777.9451 0, 664996.5563000003 5148787.038899999 0, 664982.6623999998 5148807.8574 0, 664982.0647999998 5148809.7338 0, 664979.9735000003 5148816.240900001 0, 664992.7977 5148807.204299999 0, 664994.2653000001 5148805.374500001 0, 665001.4363000002 5148796.411800001 0, 665010.7860000003 5148792.363600001 0, 665017.7196000004 5148795.9997000005 0, 665019.1405999996 5148796.748 0, 665014.6063999999 5148813.519200001 0, 664999.0932 5148830.9395 0, 664988.7028999999 5148845.073999999 0, 664918.1885000002 5148872.4113 0, 664907.2255999995 5148875.724300001 0, 664891.8976999996 5148880.3401 0, 664864.8868000004 5148881.513699999 0, 664854.8558 5148877.112 0, 664831.1347000003 5148882.5647 0, 664809.0137 5148893.1121 0, 664801.3935000002 5148900.106000001 0, 664790.1312999995 5148910.456 0, 664766.2626 5148923.501700001 0, 664743.3660000004 5148930.6548999995 0, 664728.5330999997 5148920.3234 0, 664719.7961999997 5148914.237299999 0, 664714.9100000001 5148902.201300001 0, 664715.0395999998 5148895.3803 0, 664699.2308 5148888.821 0, 664673.3497000001 5148888.577 0, 664667.8054999998 5148895.613399999 0, 664656.5175000001 5148893.843800001 0, 664655.5108000003 5148894.548699999 0, 664652.9603000004 5148896.3533 0, 664630.9694999997 5148909.5243999995 0, 664625.7719 5148912.6327 0, 664612.4907999998 5148920.584000001 0, 664601.6223999998 5148913.375399999 0, 664599.8032 5148910.421599999 0, 664594.4765999997 5148901.783 0, 664603.1163999997 5148886.991699999 0, 664615.8949999996 5148873.0077 0, 664635.3739 5148865.985099999 0, 664645.1036999999 5148862.7542 0, 664652.1043999996 5148853.786599999 0, 664665.1442 5148856.3137 0, 664671.4939000001 5148851.307600001 0, 664664.3406999996 5148838.659600001 0, 664665.2324999999 5148821.6072 0, 664672.3832999999 5148804.675000001 0, 664675.5021000002 5148789.939099999 0, 664680.2059000004 5148782.0649999995 0, 664684.1484000003 5148784.4123 0, 664689.1734999996 5148789.0656 0, 664696.8583000004 5148804.0011 0, 664708.0034999996 5148816.157400001 0, 664717.6229999997 5148819.1865 0, 664722.8288000003 5148814.7326 0, 664730.2111999998 5148815.4443 0, 664739.8914000001 5148819.151900001 0, 664747.4610000001 5148832.319 0, 664751.3443 5148848.8884 0, 664751.4598000003 5148849.401000001 0, 664752.8165999996 5148852.2436 0, 664755.1769000003 5148856.239800001 0, 664756.5108000003 5148861.732899999 0, 664774.0018999996 5148860.9553 0, 664778.7443000004 5148857.7666 0, 664795.1073000003 5148846.771500001 0, 664810.2665999997 5148837.348099999 0, 664831.9638 5148830.692 0, 664846.5754000004 5148824.8575 0, 664862.3811999997 5148824.8454 0, 664873.3546000002 5148825.5122 0, 664880.8605000004 5148825.963500001 0, 664882.2428000001 5148826.125600001 0, 664886.4795000004 5148826.619999999 0, 664927.3745999997 5148806.445699999 0, 664942.3929000003 5148804.6559999995 0, 664948.1156000001 5148799.6951 0, 664957.9332999997 5148786.9268 0, 664953.1160000004 5148773.881999999 0, 664954.1465999996 5148749.1052 0, 664959.4891999997 5148735.1282 0, 664954.6338 5148723.768100001 0, 664949.5171999997 5148711.9529 0, 664950.2651000004 5148686.508199999 0, 664956.6360999998 5148677.615599999 0, 664965.8732000003 5148665.9616 0, 664988.5119000003 5148659.6798 0, 665028.5401999997 5148658.4388999995 0, 665033.6251999997 5148658.6565000005 0, 665070.5212000003 5148660.2338 0, 665137.3707999997 5148711.898399999 0, 665137.5679000001 5148712.056399999 0, 665144.4625000004 5148724.561000001 0, 665157.0778000001 5148742.262499999 0, 665172.6551000001 5148752.6997 0, 665193.8479000004 5148749.596000001 0, 665234.2007999998 5148731.353 0, 665283.3479000004 5148671.2842 0, 665352.2137000002 5148573.5688000005 0, 665399.0051999995 5148532.4529 0, 665473.2476000004 5148486.9967 0, 665482.9972000001 5148481.034600001 0, 665502.6794900319 5148475.254774749 0, 665488.7704299373 5148445.846538018 0, 665481.0777643479 5148429.581763173 0, 665430.6261123021 5148345.408266979 0, 665393.0165013236 5148294.697576928 0, 665372.1669533623 5148266.585215836 0, 665306.2632811861 5148193.871718813 0, 665233.5497841632 5148127.968046636 0, 665203.3854075471 5148105.596620241 0, 665154.7267330192 5148069.508887697 0, 665125.7520018546 5148052.142102177 0, 665070.5532368256 5148019.057235651 0, 664981.8399323646 5147977.098967488 0, 664889.4411772541 5147944.038164267 0, 664794.2468220157 5147920.193219596 0, 664697.1736403292 5147905.793773327 0, 664599.1564999996 5147900.978499999 0, 664501.13935967 5147905.793773327 0, 664404.0661779834 5147920.193219596 0, 664308.8718227451 5147944.038164267 0, 664216.4730676345 5147977.098967488 0, 664127.7597631735 5148019.057235651 0, 664043.5862669799 5148069.508887697 0, 663968.4354132294 5148125.244559433 0, 663964.7632158359 5148127.968046636 0, 663958.5606990873 5148133.589680132 0, 663892.049718813 5148193.871718813 0, 663875.2796583708 5148212.374629194 0)), ((665558.7052999996 5148621.918299999 0, 665558.909393296 5148621.922181946 0, 665556.0968357318 5148610.693822745 0, 665553.9950628546 5148604.819761063 0, 665553.5702999998 5148609.3982 0, 665558.7052999996 5148621.918299999 0)), ((665598.3026133466 5148883.597237879 0, 665597.4108318178 5148865.44460784 0, 665593.7690000003 5148872.3926 0, 665596.8278999999 5148883.1622 0, 665598.3026133466 5148883.597237879 0)))",3071643.244439125
